,first_name,last_name,bioguide_id,type,reelection,retire,Code.x,senate_class,incumbent,party,inc_r,inc_wp,Sabato.20170510,Sabato.20170517,Sabato.20170802,Sabato.20170824,Sabato.20171116,Sabato.20180207,Sabato.20180215,Sabato.20180404,Sabato.20180509,Sabato.20180613,Sabato.20180621,Sabato.20180724
7,Jeff,Flake,F000444,sen,1,1,AZ,1,Jeff Flake,R,No,NA,Leans R,Leans R,Leans R,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up
9,Dianne,Feinstein,F000062,sen,1,0,CA,1,Dianne Feinstein,D,Yes,Yes,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
14,Christopher,Murphy,M001169,sen,1,0,CT,1,Chris Murphy,D,Yes,TBD,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
15,Thomas,Carper,C000174,sen,1,0,DE,1,Tom Carper,D,Yes,TBD,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
17,Bill,Nelson,N000032,sen,1,0,FL,1,Bill Nelson,D,Yes,TBD,Leans D,Leans D,Leans D,Leans D,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up
21,Mazie,Hirono,H001042,sen,1,0,HI,1,Mazie Hirono,D,Yes,TBD,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
29,Joe,Donnelly,D000607,sen,1,0,IN,1,Joe Donnelly,D,Yes,Yes,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up
38,Elizabeth,Warren,W000817,sen,1,0,MA,1,Elizabeth Warren,D,Yes,TBD,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
39,Benjamin,Cardin,C000141,sen,1,0,MD,1,Ben Cardin,D,Yes,TBD,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
42,Angus,King,K000383,sen,1,0,ME,1,Angus King,I,Yes,TBD,Leans D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Safe D,Safe D,Safe D,Safe D,Safe D
43,Debbie,Stabenow,S000770,sen,1,0,MI,1,Debbie Stabenow,D,Yes,TBD,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D
45,Amy,Klobuchar,K000367,sen,1,0,MN,1,Amy Klobuchar,D,Yes,TBD,Likely D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
46,Tina,Smith,S001203,sen,1,0,MN,2,Tina Smith*,D,Yes,TBD,Leans D,Leans D,Leans D,Leans D,Leans D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D
47,Claire,McCaskill,M001170,sen,1,0,MO,1,Claire McCaskill,D,Yes,TBD,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up
49,Roger,Wicker,W000437,sen,1,0,MS,1,Roger Wicker,R,Yes,Yes,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R
50,Cindy,Hyde-Smith,H001079,sen,1,0,MS,2,Cindy Hyde-Smith*,R,Yes,NA,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R,Likely R
51,Jon,Tester,T000464,sen,1,0,MT,1,Jon Tester,D,Yes,Yes,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D
56,Heidi,Heitkamp,H001069,sen,1,0,ND,1,Heidi Heitkamp,D,Yes,TBD,Toss-up,Toss-up,Toss-up,Leans D,Leans D,Leans D,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up
57,Deb,Fischer,F000463,sen,1,0,NE,1,Deb Fischer,R,Yes,Yes,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R
61,Robert,Menéndez,M000639,sen,1,0,NJ,1,Bob Menendez,D,Yes,Yes,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D
64,Martin,Heinrich,H001046,sen,1,0,NM,1,Martin Heinrich,D,Yes,NA,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
65,Dean,Heller,H001041,sen,1,0,NV,1,Dean Heller,R,Yes,TBD,Leans R,Leans R,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up,Toss-up
67,Kirsten,Gillibrand,G000555,sen,1,0,NY,1,Kirsten Gillibrand,D,Yes,TBD,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
69,Sherrod,Brown,B000944,sen,1,0,OH,1,Sherrod Brown,D,Yes,Yes,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Leans D,Likely D,Likely D,Likely D
75,Robert,Casey,C001070,sen,1,0,PA,1,Bob Casey Jr.,D,Yes,Yes,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Likely D,Safe D,Safe D
