"","abbr","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER","soybean.sum","state_c","state_c_abbr","X","first_name","last_name","bioguide_id","type","reelection","retire","senate_class","incumbent","party","inc_r","inc_wp","Sabato.20170510","Sabato.20170517","Sabato.20170802","Sabato.20170824","Sabato.20171116","Sabato.20180207","Sabato.20180215","Sabato.20180404","Sabato.20180509","Sabato.20180613","Sabato.20180621","Sabato.20180724","c.twoyears","c.aftertax","r_to_d","r_to_d_aftertax","d_to_r","party.c","curr.rate"
"47","WV","54","01779805","0400000US54","54","WV","West Virginia","00",62265662566,489840834,0,"西維吉尼亞州","西維吉尼亞州",97,"Joe","Manchin","M001183","sen",1,0,1,"Joe Manchin","D","Yes","Yes",3,3,3,3,3,3,3,3,4,4,4,3,0,0,0,0,0,"民主黨","兩黨拉鋸"
"12","IL","17","01779784","0400000US17","17","IL","Illinois","00",143784114293,6211277447,608960000,"伊利諾州","伊利諾州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"18","MD","24","01714934","0400000US24","24","MD","Maryland","00",25150696145,6980371026,22628000,"馬里蘭州","馬里蘭州",39,"Benjamin","Cardin","C000141","sen",1,0,1,"Ben Cardin","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"11","ID","16","01779783","0400000US16","16","ID","Idaho","00",214048160737,2393355752,0,"愛達荷州","愛達荷州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"44","VT","50","01779802","0400000US50","50","VT","Vermont","00",23873457570,1031134839,0,"佛蒙特州","佛蒙特州",91,"Bernard","Sanders","S000033","sen",1,0,1,"Bernie Sanders","I","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"偏民主黨獨立黨派","民主黨絕對優勢"
"6","CT","09","01779780","0400000US09","09","CT","Connecticut","00",12542619303,1815495323,0,"康乃狄克州","康乃狄克州",14,"Christopher","Murphy","M001169","sen",1,0,1,"Chris Murphy","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"30","NM","35","00897535","0400000US35","35","NM","New Mexico","00",314191415563,733669653,0,"新墨西哥州","新墨西哥州",64,"Martin","Heinrich","H001046","sen",1,0,1,"Martin Heinrich","D","Yes",NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"29","NJ","34","01779795","0400000US34","34","NJ","New Jersey","00",19049723313,3542963551,4134000,"紐澤西州","紐澤西州",61,"Robert","Menéndez","M000639","sen",1,0,1,"Bob Menendez","D","Yes","Yes",2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,"民主黨","民主黨優勢"
"27","NE","31","01779792","0400000US31","31","NE","Nebraska","00",198957965731,1370523694,290195000,"內布拉斯加州","內布拉斯加州",57,"Deb","Fischer","F000463","sen",1,0,1,"Deb Fischer","R","Yes","Yes",7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,"共和黨","共和黨絕對優勢"
"36","PA","42","01779798","0400000US42","42","PA","Pennsylvania","00",115881477379,3397554419,25460400,"賓夕法尼亞州","賓州",75,"Robert","Casey","C001070","sen",1,0,1,"Bob Casey Jr.","D","Yes","Yes",2,2,2,2,2,2,2,2,2,2,1,1,-1,-1,0,0,0,"民主黨","民主黨絕對優勢"
"9","GA","13","01705317","0400000US13","13","GA","Georgia","00",149177524294,4733385577,3142400,"喬治亞州","喬治亞州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"5","CO","08","01779779","0400000US08","08","CO","Colorado","00",268425964573,1178495763,0,"科羅拉多州","科羅拉多州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"38","SC","45","01779799","0400000US45","45","SC","South Carolina","00",77862731483,5071381300,14063300,"南卡羅來納州","南卡羅來納州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"34","OK","40","01102857","0400000US40","40","OK","Oklahoma","00",177664450004,3373087228,13567000,"奧克拉荷馬州","奧克拉荷馬州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"26","ND","38","01779797","0400000US38","38","ND","North Dakota","00",178710423375,4400396641,232165500,"北達科他州","北達科他州",56,"Heidi","Heitkamp","H001069","sen",1,0,1,"Heidi Heitkamp","D","Yes","TBD",4,4,4,3,3,3,4,4,4,4,4,4,0,0,0,0,1,"民主黨","兩黨拉鋸"
"15","KY","21","01779786","0400000US21","21","KY","Kentucky","00",102266092821,2388731561,91484000,"肯塔基州","肯塔基州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"49",NA,"66","01802705","0400000US66","66","GU","Guam","00",543558310,934334983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"31","NV","32","01779793","0400000US32","32","NV","Nevada","00",284329327067,2047350803,0,"內華達州","內華達州",65,"Dean","Heller","H001041","sen",1,0,1,"Dean Heller","R","Yes","TBD",5,5,4,4,4,4,4,4,4,4,4,4,-1,0,1,0,0,"共和黨","兩黨拉鋸"
"2","AR","05","00068085","0400000US05","05","AR","Arkansas","00",134768100673,2963631791,174156500,"阿肯色州","阿肯色州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"14","KS","20","00481813","0400000US20","20","KS","Kansas","00",211753159949,1346325556,161545000,"堪薩斯州","堪薩斯州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
